Date,Number of New Positive Cases in Last 24 Hrs,Total Number of Positive Cases to Date,Number of New Tests in Last 24 Hrs,Total Number of Tests to Date,Total Number of Active Cases Undergoing Treatment to Date,Number of New Recovered Cases in Last 24 Hrs,Total Number of Recovered Cases to Date,Number of New Deaths in Last 24 Hrs,Total Number of Deaths to Date,Total Number of Acute Cases under Hospital Treatment,Number of New Acute Hospital Admissions in Last 24 Hrs,Total Number of Cases under ICU Treatment,Number of New ICU Admissions in Last 24 Hrs,Total Number of Vaccine Doses Administered in Last 24 Hrs,Total Number of Vaccine Doses Administered Since Start of Vaccination Campaign
1/23/2021,251,148772,10419,1347631,3784,121,144740,0,248,365,36,37,8,,
1/24/2021,247,149019,12515,1352784,3913,118,144858,0,248,370,37,36,6,,
1/25/2021,277,149296,9571,1357657,4067,123,144981,0,248,372,38,39,4,,
1/26/2021,299,149595,10143,1362781,4223,143,145124,0,248,380,55,40,4,,
1/27/2021,338,149933,9069,1368964,4434,127,145251,0,248,391,49,40,7,,
1/28/2021,347,150280,9738,1374442,4618,163,145414,0,248,403,53,42,3,,
1/29/2021,341,150621,11073,1379666,4817,142,145556,0,248,382,38,46,10,,
1/29/2021,363,150984,10065,1383668,5068,112,145668,0,248,423,63,46,4,,
1/31/2021,351,151335,10798,1388419,5281,138,145806,0,248,461,47,51,7,,
2/1/2021,385,151720,11347,1393630,5518,147,145953,1,249,469,63,53,5,,
2/2/2021,375,152095,10888,1399488,5735,158,146111,0,249,481,75,55,5,,
2/3/2021,396,152491,11954,1406440,5940,191,146302,0,249,505,69,58,10,,
2/4/2021,407,152898,15799,1413949,6175,172,146474,0,249,528,66,56,5,,
2/5/2021,398,153296,10819,1419256,6419,153,146627,1,250,546,73,54,3,,
2/6/2021,394,153690,9527,1422102,6681,132,146759,0,250,570,66,62,11,,
2/7/2021,408,154098,13373,1427637,6938,151,146910,0,250,592,59,61,6,,
2/8/2021,427,154525,13306,1432985,7241,123,147033,1,251,570,65,63,3,,
2/9/2021,477,155002,10881,1438308,7558,158,147191,2,253,575,81,64,2,,
2/10/2021,451,155453,11196,1443605,7749,260,147451,0,253,568,75,70,12,,
2/11/2021,448,155901,10443,1449099,7920,276,147727,1,254,572,62,78,16,,
2/12/2021,450,156351,9120,1455165,8158,212,147939,0,254,596,86,80,11,,
2/13/2021,253,156804,10116,1459551,8412,198,148137,1,255,589,76,86,9,,
2/14/2021,440,157244,10402,1465229,8675,177,148314,0,255,588,64,99,14,,
2/15/2021,448,157692,11413,1470569,8937,186,148500,0,255,592,82,98,14,,
2/16/2021,446,158138,9584,1475845,9244,138,148638,1,256,614,86,99,3,,
2/17/2021,453,158591,8787,1481420,9569,128,148766,0,256,626,80,105,13,,
2/18/2021,462,159053,10397,1486833,9766,265,149031,0,256,656,92,99,7,,
2/19/2021,465,159518,9989,1491675,9942,289,149320,0,256,660,85,95,7,,
2/20/2021,449,159967,10310,1495417,9971,420,149740,0,256,646,76,89,7,,
2/21/2021,459,160426,10740,1500261,9950,480,150220,0,256,655,69,86,8,,
2/22/2021,463,160889,9618,1505646,9917,495,150715,1,257,643,91,85,6,,
2/23/2021,455,161344,8539,1510492,9862,510,151225,0,257,665,95,88,11,,
2/24/2021,459,161803,9566,1516046,9759,562,151787,0,257,670,93,94,10,,
2/25/2021,465,162268,9344,1521792,9684,540,152327,0,257,681,105,99,13,,
2/26/2021,469,162737,9675,1527438,9673,480,152807,0,257,677,82,102,9,,
2/27/2021,460,163197,8620,1532225,9721,412,153219,0,257,682,86,105,9,,
2/28/2021,467,163664,9158,1537958,9785,402,153621,1,258,679,76,102,8,,
3/1/2021,473,164137,9735,1544331,9817,440,154061,1,259,686,98,99,7,,
3/2/2021,463,164600,10578,1550694,9921,359,154420,0,259,736,120,106,10,,
3/3/2021,471,165071,10575,1557031,10059,332,154752,1,260,749,89,110,8,,
3/4/2021,475,165546,11221,1563932,10216,318,155070,0,260,763,92,111,13,,
3/5/2021,469,166015,11472,1568968,10347,337,155407,1,261,728,90,109,9,,
3/6/2021,460,166475,9486,1573518,10513,293,155700,1,262,685,72,116,11,,
3/7/2021,474,166949,10037,1578949,10686,301,156001,0,262,653,74,111,13,,
3/8/2021,468,167417,10230,1585232,10855,298,156299,1,263,649,88,118,14,,
3/9/2021,471,167888,10611,1591056,11012,313,156612,1,264,651,87,116,12,,
3/10/2021,473,168361,10515,1597367,11012,307,156919,0,264,730,106,114,9,,
3/11/2021,468,168829,12529,1603693,11323,323,157242,0,264,748,94,119,10,,
3/12/2021,455,169284,12013,1610526,11442,335,157577,1,265,770,92,117,9,,
3/13/2021,483,169767,11897,1615021,11626,299,157876,0,265,803,102,115,16,,
3/14/2021,485,170252,10942,1622518,11789,321,158197,1,266,837,99,113,18,,
3/15/2021,481,170733,11834,1629260,11958,311,158508,1,267,875,127,118,12,,
3/16/2021,479,171212,9516,1635175,12091,345,158853,1,268,989,149,128,15,,
3/17/2021,489,171701,10771,1642181,12290,288,159141,2,270,938,128,135,19,,
3/18/2021,499,172200,11119,1648555,12458,331,159472,0,270,1005,157,140,29,18635,538441
3/19/2021,497,172697,11170,1654790,12639,315,159787,1,271,1042,184,141,13,21278,561044
3/20/2021,509,173206,10344,1660175,12819,328,160115,1,272,1055,182,159,18,14480,579338
3/21/2021,503,173709,10320,1666658,12985,336,160451,1,273,1174,209,179,16,15275,594613
3/22/2021,519,174228,10095,1672650,13192,311,160762,1,274,1145,149,196,21,21042,615655
3/23/2021,534,174762,11738,1679713,13376,349,161111,1,275,1150,174,207,22,21806,637461
3/24/2021,570,175332,10811,1686747,13566,377,161488,3,278,1244,207,224,28,20864,658325
3/25/2021,587,175919,12460,1694463,13823,327,161815,3,281,1291,201,233,30,20953,679278
3/26/2021,602,176521,12680,1701019,14066,358,162173,1,282,1350,213,244,29,22665,701943
3/27/2021,614,177135,11300,1706760,14296,382,162555,2,284,1365,218,259,34,19293,721236
3/28/2021,639,177774,11825,1712932,14580,355,162910,0,284,1393,200,279,29,19073,740309
3/29/2021,890,178464,12704,1719899,14906,362,163272,2,286,1558,238,302,28,24801,765110
3/30/2021,720,179184,12300,1727398,15211,412,163684,3,289,1590,211,315,35,25566,790676
3/31/2021,780,179964,13589,1734601,15552,437,164121,2,291,1668,239,338,51,25808,816484
4/1/2021,840,180804,14233,1741631,15965,423,164544,4,295,1723,198,358,50,25516,842000
4/2/2021,874,181678,15034,1749501,16377,459,165003,3,298,1640,236,379,31,25209,867209
4/3/2021,870,182548,15544,1754221,16776,468,165471,3,301,1674,189,396,38,21993,889202
4/4/2021,876,183424,13798,1760812,17169,481,165952,2,303,1696,175,402,33,21649,910851
4/5/2021,910,184334,13521,1766354,17587,489,166441,3,306,1712,190,422,40,23992,934843
4/6/2021,927,185261,11502,1773431,17996,512,166953,6,312,1663,204,427,38,26712,961555
4/7/2021,940,186201,11494,1780877,18401,527,167480,8,320,1687,229,431,42,26118,987673
4/8/2021,949,187150,11682,1786516,18827,521,168001,2,322,1743,246,428,38,25043,1012716
4/9/2021,950,188100,11349,1792416,19242,533,168534,2,324,1697,204,433,48,28916,1041632
4/10/2021,964,189064,13547,1797325,19647,552,169086,7,331,1705,257,452,43,10618,1062250
4/11/2021,961,190025,12240,1802462,20057,549,169635,2,333,1702,209,461,40,17526,1079776
4/12/2021,973,190998,14493,1808736,20469,559,170194,2,335,1713,240,473,43,24950,1104726
4/13/2021,981,191979,14383,1814379,20852,593,170787,5,340,1725,208,479,36,26905,1131631
4/14/2021,984,192963,13120,1820083,21227,601,171388,8,348,1710,207,483,31,27848,1159479
4/15/2021,989,193952,11120,1825071,21610,597,171985,9,357,1467,167,489,41,23712,1183191
4/16/2021,978,194930,12175,1830688,21965,613,172598,10,367,1446,176,481,31,26457,1209648
4/17/2021,827,195757,10439,1834731,22124,659,173257,9,376,1417,165,469,29,15462,1225110
4/18/2021,823,196580,10793,1840053,22228,713,173970,6,382,1370,171,467,30,23119,1248229
4/19/2021,896,197476,11829,1844598,22392,728,174698,4,386,1299,130,461,25,23249,1271478
4/20/2021,885,198361,12359,1849568,22539,733,175431,5,391,1272,148,459,24,25042,1296520
4/21/2021,819,199180,12817,1854566,22592,757,176188,9,400,1219,117,457,22,24346,1320866
4/22/2021,800,199980,11358,1862459,22409,976,177164,7,407,1236,91,449,25,24557,1345423
4/23/2021,798,200778,11974,1870202,21904,1297,178461,6,413,1160,83,441,18,26973,1372396
4/24/2021,718,201496,9613,1875805,21104,1513,179974,5,418,1112,76,435,18,22385,1394781
4/25/2021,705,202201,10132,1862459,20251,1548,181522,10,428,1084,79,431,22,20980,1415761
4/26/2021,703,202904,11507,1884662,19367,1578,183100,9,437,1040,36,395,17,26947,1442708
4/27/2021,695,203599,10984,1889194,18446,1612,184712,4,441,1002,69,384,20,26925,1469633
4/28/2021,690,204289,9630,1893606,17526,1606,186318,4,445,971,44,383,20,27200,1496833
4/29/2021,687,204976,10648,1899091,16575,1633,187951,5,450,910,47,377,23,29942,1526775
4/30/2021,676,205652,11218,1903912,15650,1593,189544,8,458,849,52,374,11,29428,1556203
5/1/2021,650,206302,11205,1908717,14766,1527,191071,7,465,821,35,364,8,22799,1579002
5/2/2021,646,206948,12789,1913127,13925,1480,192551,7,472,764,24,341,8,24911,1603913
5/3/2021,644,207592,13149,1918009,13013,1548,194099,8,480,722,44,310,16,31485,1635398
5/4/2021,640,208232,14706,1923392,12228,1422,195521,3,483,707,31,308,10,35513,1670911
5/5/2021,645,208877,13854,1927819,11482,1385,196906,6,489,648,28,269,9,31003,1701914
5/6/2021,593,209470,18177,1932620,10750,1321,198227,4,439,608,24,279,18,30557,1732471
5/7/2021,600,2100700,18609,1937204,10130,1217,199444,3,496,551,14,274,9,30074,1762545
5/8/2021,533,210603,16412,1941171,9634,1023,200467,6,502,516,21,261,7,24615,1787160
5/9/2021,389,210922,14524,1945111,8954,1063,201530,6,508,489,14,252,8,26080,1813240
5/10/2021,397,211389,17109,1949350,8325,1022,202552,4,512,474,16,231,5,31418,1844658
5/11/2021,343,211732,16028,1954173,7670,994,203546,4,516,426,23,224,10,31520,1876178
5/12/2021,392,212124,18162,1957978,7197,862,204408,3,519,411,21,231,13,35485,1911663
5/13/2021,299,212423,14843,1961687,6741,752,205160,3,522,391,20,225,8,32965,1944628
5/14/2021,244,212667,14139,1964598,6393,590,205750,2,524,377,7,215,10,32120,1976748
5/15/2021,260,212927,11365,1967354,6094,557,206307,2,526,378,14,208,4,25270,2002018
5/16/2021,256,213183,10782,1970800,5576,770,207077,4,530,364,14,205,6,33457,2035475
5/17/2021,302,213485,15382,1973886,5157,719,207796,2,532,339,9,196,7,37879,2073354
5/18/2021,370,213855,13810,1977199,4705,818,208614,4,536,338,22,179,5,36626,2109980
5/19/2021,295,214150,14204,1981339,4361,637,209251,2,538,332,23,181,6,40769,2150749
5/20/2021,313,214463,17127,1985181,4151,522,209773,1,539,315,21,171,4,40058,2190807
5/21/2021,367,214830,14092,1988609,4139,377,210150,2,541,321,17,165,3,42809,2233616
5/22/2021,330,215160,14879,1991728,4028,439,210589,2,543,310,10,161,1,28287,2261903
5/23/2021,283,215443,13575,1995242,3957,353,210942,1,544,305,7,150,5,31337,2293240
5/24/2021,299,215742,14882,1998695,2899,354,211296,3,547,262,14,154,5,36098,2329338
5/25/2021,349,216091,14934,2001947,3907,339,211635,2,549,246,19,152,2,36309,2365647
5/26/2021,306,216397,13968,2005869,3949,261,211896,3,552,245,16,147,4,37518,2403165
5/27/2021,286,216683,14776,2009716,4083,152,212048,0,552,236,5,147,2,37765,2440930
5/28/2021,202,216885,16569,2012989,3954,331,212379,0,552,237,8,137,3,34907,2475837
5/29/2021,156,217041,13290,2016744,3771,337,212716,2,554,234,17,133,3,15801,2491638
5/30/2021,189,217230,12762,2020338,3669,219,213007,0,554,216,7,129,7,22947,2514585
5/31/2021,228,217458,15982,2024606,3566,329,213336,2,556,218,15,134,4,30608,2545193
6/1/2021,230,217668,16078,2028209,2497,296,213631,4,560,206,7,125,2,29499,2574692
6/2/2021,194,217882,15374,2032185,3300,389,214020,2,562,199,9,119,4,25652,2600344
6/3/2021,198,218080,15039,2036599,3140,356,214377,1,563,198,11,116,1,21941,2622285
6/4/2021,183,218263,16819,2040984,3073,248,214625,2,565,190,12,118,2,21288,2643573
6/5/2021,192,218455,14911,2044926,2939,325,214950,1,566,189,6,108,4,13122,2656695
6/6/2021,172,218980,13218,2049278,2764,344,215899,3,569,188,8,105,4,19544,2676239
6/7/2021,171,218798,17695,2053409,2594,341,215635,0,569,178,6,101,2,24703,2700942
6/8/2021,182,218980,16544,2056656,2511,264,215899,1,570,172,5,96,0,15728,2716670
6/9/2021,158,219138,17253,2062349,2442,224,216123,3,573,95,1,95,1,12767,2729437
6/10/2021,143,219281,18534,2067661,2406,178,216301,1,574,167,15,90,0,19015,2748452
6/11/2021,185,219466,18718,2071976,2409,182,216483,0,574,168,13,87,2,19576,2768028
6/12/2021,147,219613,16985,2076074,2339,215,216698,2,576,88,3,88,3,12888,2780916
6/13/2021,117,219730,15412,2080535,2209,246,216944,1,577,155,7,87,4,14175,2795091
6/14/2021,157,219887,18029,2084963,2165,199,217143,2,579,147,6,85,0,17931,2813022
6/15/2021,146,220033,17806,2090365,2102,209,217352,0,579,129,12,80,2,20962,2833984
6/16/2021,165,220198,13493,2094362,2069,198,217550,0,579,129,10,77,0,11603,2845587
6/17/2021,127,220325,21915,2100167,1986,208,217758,2,581,132,7,76,6,10562,2856149
6/18/2021,184,220509,20901,2105547,2026,143,217901,1,582,130,14,76,2,12013,2868162
6/19/2021,184,220693,21140,2110802,2013,197,218098,0,582,127,7,75,1,8347,2876509
6/20/2021,107,220800,17064,2116093,1973,146,218244,1,583,119,6,76,2,9814,2886323
6/21/2021,130,220930,21395,2121764,1912,191,218435,0,583,122,14,74,0,12491,2898814
6/22/2021,189,221119,19095,2126632,1951,149,218584,1,584,129,13,72,1,10149,2908963
6/23/2021,154,221273,20640,2131383,1900,203,218787,2,586,132,20,69,2,17103,2926066
6/24/2021,105,221378,21905,2137163,1863,141,218928,1,587,120,7,66,1,29991,2956057
6/25/2021,87,221465,18809,2141812,1836,113,219041,1,588,119,4,60,3,33189,2989246
6/26/2021,125,221590,18940,2145918,1800,161,219202,0,588,103,5,59,3,19576,3008822
6/27/2021,102,221692,15930,2150184,1771,131,219333,0,588,99,1,58,1,32839,3041661
6/28/2021,118,221810,19583,2155430,1744,145,219478,0,588,99,9,53,2,33714,3075375
6/29/2021,143,221953,20091,2160754,1707,180,219658,0,588,101,6,54,2,33669,3109044
6/30/2021,118,222071,20060,2165723,1682,141,219799,2,590,97,5,53,2,36018,3145062
7/1/2021,146,222217,22466,2172413,1641,186,219985,1,591,98,4,50,2,32682,3177744
7/2/2021,133,222350,20489,2160754,1659,155,220100,0,591,86,7,46,3,33493,3211237
7/3/2021,103,222453,17311,2182633,1601,160,220260,1,592,83,6,46,0,15071,3226308
7/4/2021,121,222574,18271,2187170,1533,189,220449,0,592,85,9,45,0,22957,3249265
7/5/2021,93,222667,19584,2193021,1477,148,220597,1,593,92,9,44,2,27151,3276416
7/6/2021,93,222760,16729,2198267,1489,80,220677,1,594,93,8,44,0,27629,3304045
7/7/2021,158,222918,19192,2203067,1560,85,220762,2,596,89,9,40,2,29158,3333203
7/8/2021,113,223031,20094,2207701,1529,142,220904,2,598,84,8,42,1,35960,3369163
7/9/2021,144,223175,18350,2213065,1550,123,221027,0,598,89,10,38,2,14624,3383787
7/10/2021,97,223272,16635,2217530,1513,133,221160,1,599,88,6,37,1,6519,3333203
7/11/2021,86,223358,14857,2222579,1464,135,221295,0,599,90,5,36,0,6657,3396963
7/12/2021,146,223504,19330,2227433,1505,105,221400,0,599,89,7,35,0,11460,3408423
7/13/2021,142,223646,18845,2233323,1498,149,221549,0,599,79,5,31,0,20368,3428791
7/14/2021,134,223780,21115,2238789,1516,116,221665,0,599,71,13,30,3,23444,3452235
7/15/2021,131,223911,22762,2245517,1507,140,221805,0,599,65,3,34,4,22709,3473944
7/16/2021,133,224044,24928,2251914,1532,108,221913,0,599,66,5,33,1,22610,3497554
7/17/2021,116,224160,21653,2259089,1550,98,222011,0,599,70,6,32,1,5486,3503040
7/18/2021,118,224278,18615,2264026,1574,94,222105,0,599,69,7,31,1,19961,3523001
7/19/2021,124,224402,20129,2270315,1546,152,222257,0,599,72,6,32,4,36311,3559312
7/20/2021,108,224510,20134,2276171,1549,105,222362,0,599,62,4,33,1,21558,3580870
7/21/2021,128,224638,15109,2280397,1560,116,222478,1,600,64,8,31,0,6813,3587683
7/22/2021,196,224834,19063,2285390,1634,122,222600,0,600,62,7,31,3,27128,3614811
7/23/2021,114,224948,14702,2290165,1621,127,222727,0,600,60,8,30,1,21461,3636272
7/24/2021,124,225072,15995,2295397,1633,112,222839,0,600,64,6,30,0,5730,3642002
7/25/2021,126,225198,17492,2299833,1622,137,222976,0,600,69,8,28,0,20169,3662171
7/26/2021,178,225376,17240,2304142,1662,138,223114,0,600,69,7,23,2,23420,3685591
7/27/2021,146,225522,15020,2309307,1712,96,223210,0,600,68,6,25,2,22960,3708551
7/28/2021,225,225747,20468,2314669,1770,166,223376,1,601,77,10,27,2,22305,2730856
7/29/2021,158,225905,18306,2320721,1810,118,223494,0,601,73,9,27,0,21425,3752281
7/30/2021,172,226077,18668,2326357,1885,97,223591,0,601,69,7,24,1,23279,3775560
7/31/2021,162,226239,17095,2332220,1906,141,223732,0,601,74,6,24,1,4908,3780468
8/1/2021,151,226390,17922,2337356,1940,117,223849,0,601,77,8,23,1,23830,3804298
8/2/2021,150,226540,20120,2343577,1944,146,223995,0,601,73,4,22,2,27513,3831811
8/3/2021,170,226710,19619,2348938,1980,134,224129,0,601,72,10,22,0,27473,3859284
8/4/2021,164,226874,18537,2354679,1988,156,224285,0,601,71,3,23,2,13605,3872889
8/5/2021,181,227055,20695,2360184,2070,99,224384,0,601,64,1,23,2,43974,3916863
8/6/2021,218,227273,20562,2366077,2142,146,224530,0,601,71,8,24,2,21736,3938599
8/7/2021,199,227472,19869,2370831,2168,173,224703,0,601,80,11,22,2,3672,3942271
8/8/2021,217,227689,18777,2375903,2250,135,224838,0,601,89,9,21,1,9247,3951518
8/9/2021,210,227899,21722,2381211,2265,195,225033,0,601,86,7,22,3,13017,3964535
8/10/2021,220,228119,22711,2386801,2305,180,225213,0,601,87,10,21,0,26431,3990966
8/11/2021,227,228346,21962,2391827,2325,207,225420,0,601,93,8,23,2,21570,4012536
8/12/2021,197,228543,21602,2397102,2376,146,225566,0,601,85,11,24,3,26019,4038555
8/13/2021,244,228787,23783,2402281,2501,119,225685,0,601,79,8,24,1,28533,4067088
8/14/2021,194,228981,22250,2407381,2499,196,225881,0,601,84,12,21,1,9578,4076666
8/15/2021,187,229168,24715,2414094,2555,131,226012,0,601,74,5,21,4,14903,4091569
8/16/2021,260,229428,29276,2420179,2669,146,226158,0,601,72,7,23,2,43493,4135062
8/17/2021,269,229697,28742,2425754,2707,231,226389,0,601,76,10,24,3,27729,4162791
8/18/2021,218,229915,25887,2432003,2752,173,226562,0,601,84,11,24,2,16591,4179382
8/19/2021,306,230221,27603,2438290,2817,241,226803,0,601,90,12,21,1,23096,4202478
8/20/2021,221,230442,24736,2444752,2845,193,226996,0,601,94,8,19,3,25648,4228126
8/21/2021,190,230632,25114,2449043,2834,201,227197,0,601,76,8,22,2,3844,4231970
8/22/2021,205,230837,20883,2453234,2791,248,227445,0,601,67,4,20,1,20381,4252387
8/23/2021,289,231126,24862,2458570,2869,211,227656,0,601,69,16,19,1,15868,4268255
8/24/2021,217,231343,26039,2464325,2875,211,227867,0,601,72,11,20,2,19667,4287922
8/25/2021,216,231559,28600,2469971,2864,227,228094,0,601,67,7,21,1,26869,4314791
8/26/2021,233,231792,26121,2475733,2864,233,228327,0,601,73,16,20,4,18881,4333672
8/27/2021,212,232004,27444,2481062,2862,213,228540,1,602,70,11,22,3,30231,4363903
8/28/2021,183,232187,28159,2486059,2845,200,228740,0,602,72,12,20,1,5681,4369584
8/29/2021,179,232366,26491,2492185,2718,306,229046,0,602,72,5,23,2,23161,4392745
8/30/2021,205,232571,32086,2497975,2723,200,229246,0,602,77,21,23,2,20584,4413329
8/31/2021,173,232744,28722,2504644,2619,277,229523,0,602,84,8,24,3,24881,4438210
9/1/2021,166,232910,28010,2509828,2545,240,229763,0,602,78,6,24,1,16191,4454401
9/2/2021,177,233087,29123,2515606,2521,201,229964,0,602,77,7,24,2,25561,4479962
9/3/2021,193,233280,30314,2520811,2510,204,230168,0,602,75,8,24,2,21435,4501397
9/4/2021,157,233437,26559,2526413,2386,281,230449,0,602,86,11,24,0,3160,4504557
9/5/2021,130,233567,22213,2531646,2297,219,230668,0,602,83,7,24,4,11173,4515730
9/6/2021,189,233756,27772,2537634,2275,210,230878,1,603,79,11,26,2,8260,4523990
9/7/2021,172,233928,27009,2542898,2197,249,231127,1,604,78,11,23,3,11823,4535813
9/8/2021,165,234093,27057,2547791,2140,222,231349,0,604,84,9,21,2,14869,4550682
9/9/2021,143,234236,26065,2553816,2094,189,231538,0,604,71,8,21,0,10827,4561509
9/10/2021,126,234362,25952,2558174,2033,187,231725,0,604,67,5,20,1,14665,4576174
9/11/2021,147,234509,20646,2563493,1983,197,231922,0,604,63,10,20,1,2426,4578600
9/12/2021,133,234642,24024,2568229,1933,183,232105,0,604,62,3,20,0,8797,4587397
9/13/2021,131,234773,23201,2573512,1900,164,232269,0,604,62,7,20,0,18523,4605920
9/14/2021,122,234895,24373,2578844,1866,156,232425,0,604,68,6,16,1,9758,4615678
9/15/2021,159,235054,25063,2584515,1828,197,232622,0,604,72,5,15,0,8501,4624179
9/16/2021,133,235187,25092,2589951,1766,195,232817,0,604,75,13,17,4,9718,4633897
9/17/2021,117,235304,24548,2594612,1748,135,232952,0,604,73,7,18,1,13517,4647414
9/18/2021,82,235386,20950,2599588,1666,164,233116,0,604,64,7,18,0,5605,4653019
9/19/2021,101,235487,21559,2605369,1594,173,233289,0,604,67,3,19,1,5249,4658268
9/20/2021,139,235626,22849,2610510,1568,165,233454,0,604,73,6,19,0,6563,4664831
9/21/2021,142,235769,22131,2615766,1565,146,233600,0,604,76,3,17,1,6784,4671615
9/22/2021,138,235907,24744,2621074,1575,128,233728,0,604,76,10,18,0,4326,4675941
9/23/2021,109,236016,23670,2626899,1511,173,233901,0,604,69,8,18,1,5727,4681668
9/24/2021,107,236123,23439,2632271,1521,97,233998,0,604,63,11,18,2,4891,4686559
9/25/2021,108,236231,22840,2637276,1493,136,234134,0,604,63,5,18,2,3490,4690049
9/26/2021,67,236298,21303,2642404,1434,125,234259,1,605,61,4,18,0,2454,4692503
9/27/2021,90,236388,22533,2648649,1358,166,234425,0,605,57,2,16,2,4250,4696753
9/28/2021,94,236482,22769,2654226,1332,120,234545,0,605,53,9,16,0,5764,4702517
9/29/2021,76,236558,23037,2659577,1282,126,234671,0,605,58,5,15,1,6350,4708867
9/30/2021,85,236643,26554,2665646,1275,91,234762,1,606,63,5,15,0,4040,4712907
10/1/2021,92,236735,24020,2671077,1274,93,234855,0,606,61,6,14,2,7240,4720147
10/2/2021,99,236834,23541,2676496,1214,159,235014,0,606,57,2,13,0,2132,4722279
10/3/2021,79,236913,22605,2682321,1148,145,235159,0,606,47,1,14,1,2719,4724998
10/4/2021,77,236990,24397,2687715,1081,144,235303,0,606,42,8,14,1,9752,4734750
10/5/2021,58,237048,20123,2693526,1040,99,235402,0,606,41,2,14,0,5245,4739995
10/6/2021,99,237147,23703,2699046,1035,104,235506,0,606,39,5,14,0,4063,4744058
10/7/2021,78,237225,23442,2704921,1022,90,235596,1,607,39,3,13,0,4695,4748753
10/8/2021,72,237297,23490,2709585,1027,67,235663,0,607,39,4,13,0,6131,4754884
10/9/2021,62,237359,17877,2713874,994,95,235758,0,607,42,3,13,3,1694,4756578
10/10/2021,65,237424,18470,2718685,977,82,235840,0,607,42,0,12,0,4298,4760876
10/11/2021,59,237483,22647,2723342,951,85,235925,0,607,43,1,11,0,6334,4767210
10/12/2021,96,237579,22039,2729471,966,81,236006,0,607,46,3,10,1,4932,4772142
10/13/2021,83,237662,21604,2734706,966,83,236089,0,607,47,1,10,2,4225,4776367
10/14/2021,79,237741,22137,2741001,938,107,236196,0,607,44,3,11,1,4423,4780790
10/15/2021,57,237798,23999,2746546,915,79,236275,1,608,44,5,11,0,5051,4785841
10/16/2021,69,237867,18627,2751612,918,66,236341,0,608,47,3,8,1,1519,4787360
10/17/2021,62,237929,17398,2756985,898,82,236423,0,608,47,2,8,0,2990,4790350
10/18/2021,67,237996,19235,2762080,890,75,236498,0,608,47,0,9,1,3268,4793618
10/19/2021,83,238079,21196,2767056,896,77,236575,0,608,48,5,11,4,2971,4796589
10/20/2021,86,238165,21586,2772462,904,78,236653,0,608,50,4,11,1,2924,4799513
10/21/2021,106,238271,22307,2777653,955,55,236708,0,608,50,3,10,0,2793,4802306
10/22/2021,88,238359,20430,2782914,975,68,236776,0,608,48,2,11,2,3628,4805934
10/23/2021,77,238436,17866,2787349,988,64,236840,0,608,42,0,11,2,1359,4807293
10/24/2021,82,238518,17933,2793687,1003,66,236906,1,609,45,4,12,1,4400,4811693
10/25/2021,122,238640,23078,2799372,1036,89,236995,0,609,49,7,12,2,3738,4815431
10/26/2021,102,238742,22269,2804976,1045,93,237088,0,609,51,6,10,0,3620,4819051
10/27/2021,103,238845,19540,2809592,1070,78,237166,0,609,58,7,12,3,2644,4821695
